exporter,importer,year,commodity,trade_quantity
Afghanistan,Australia,2019,Sunflower seed,0.53
Afghanistan,Bahrain,2019,Sunflower seed,0.53
Afghanistan,Iran (Islamic Republic of),2019,Sunflower seed,50.0
Afghanistan,Lebanon,2019,Chickens,0.5
Afghanistan,Maldives,2019,Potatoes,0.05
Afghanistan,Mozambique,2019,Potatoes,1.71
Afghanistan,Pakistan,2019,Barley,3485.0
Afghanistan,Pakistan,2019,Maize (corn),16.0
Afghanistan,Pakistan,2019,Potatoes,131.69
Afghanistan,Pakistan,2019,Sunflower seed,197.325
Afghanistan,Tajikistan,2019,Bananas,31.16
Afghanistan,Tajikistan,2019,Potatoes,28.95
Afghanistan,United Arab Emirates,2019,Potatoes,0.99
Afghanistan,Uzbekistan,2019,Potatoes,131.06
Albania,Bosnia and Herzegovina,2019,Potatoes,124.07
Albania,Hungary,2019,Maize (corn),17.84
Albania,Montenegro,2019,Bananas,79.67
Albania,Montenegro,2019,Potatoes,442.24
Albania,North Macedonia,2019,Potatoes,11.43
Albania,Republic of Moldova,2019,Potatoes,4.8
Albania,Ukraine,2019,Potatoes,14.8
Algeria,Canada,2019,Wheat,2.0
Algeria,France,2019,Potatoes,219.9
Algeria,Mauritania,2019,Potatoes,188.0
Algeria,Niger,2019,Chickens,0.5
Algeria,Niger,2019,Potatoes,83.56
Algeria,Spain,2019,Maize (corn),0.12
Algeria,Spain,2019,Potatoes,444.4
Algeria,United Arab Emirates,2019,Maize (corn),0.05
Algeria,United Arab Emirates,2019,Potatoes,361.63
Angola,Congo,2019,Bananas,8.88
Angola,Congo,2019,Barley,0.2
Angola,Congo,2019,Chickens,0.015
Angola,Congo,2019,Maize (corn),123.5
Angola,Congo,2019,Rice,0.1
Angola,Cyprus,2019,Potatoes,0.28
Angola,Democratic Republic of the Congo,2019,Bananas,10.55
Angola,Democratic Republic of the Congo,2019,Cattle,6.6125
Angola,Democratic Republic of the Congo,2019,Chickens,2.75
Angola,Democratic Republic of the Congo,2019,Maize (corn),52.92
Angola,Democratic Republic of the Congo,2019,Potatoes,12.84
Angola,Democratic Republic of the Congo,2019,Rice,26.59
Angola,Democratic Republic of the Congo,2019,Wheat,0.05
Angola,France,2019,Wheat,0.11
Angola,Namibia,2019,Bananas,3.44
Angola,Namibia,2019,Cattle,18.1
Angola,Namibia,2019,Maize (corn),338.865
Angola,Namibia,2019,Potatoes,1.55
Angola,Namibia,2019,Rice,0.59
Angola,Namibia,2019,Soya beans,4.42
Angola,Namibia,2019,Wheat,2.11
Angola,Netherlands (Kingdom of the),2019,Bananas,0.01
Angola,Netherlands (Kingdom of the),2019,Potatoes,0.01
Angola,Portugal,2019,Bananas,4788.95
Angola,Portugal,2019,Potatoes,2.3
Angola,Portugal,2019,Rice,0.06
Angola,Singapore,2019,Potatoes,1.2
Angola,South Africa,2019,Bananas,513.33
Angola,Spain,2019,Bananas,279.78
Angola,Spain,2019,Potatoes,2.46
Angola,Spain,2019,Rice,0.27
Angola,Zambia,2019,Cattle,0.65
Antigua and Barbuda,Bahrain,2019,Maize (corn),800.0
Antigua and Barbuda,Republic of Korea,2019,Maize (corn),26569.0
Antigua and Barbuda,Saint Vincent and the Grenadines,2019,Maize (corn),0.23
Antigua and Barbuda,Ukraine,2019,Maize (corn),0.0
Antigua and Barbuda,Ukraine,2019,Sunflower seed,0.19
Argentina,Albania,2019,Maize (corn),414.0
Argentina,Algeria,2019,Maize (corn),3782610.0
Argentina,Algeria,2019,Sunflower seed,2683.18
Argentina,Algeria,2019,Wheat,223400.0
Argentina,Angola,2019,Cattle,166.15
Argentina,Angola,2019,Maize (corn),52294.345
Argentina,Angola,2019,Wheat,13.29
Argentina,Armenia,2019,Soya beans,0.21
Argentina,Australia,2019,Maize (corn),387.0
Argentina,Australia,2019,Sunflower seed,18.02
Argentina,Azerbaijan,2019,Maize (corn),177.74
Argentina,Bahrain,2019,Maize (corn),10271.205
Argentina,Bahrain,2019,Sunflower seed,60.769999999999996
Argentina,Bangladesh,2019,Maize (corn),108880.0
Argentina,Bangladesh,2019,Wheat,336823.0
Argentina,Barbados,2019,Maize (corn),34.6
Argentina,Belarus,2019,Maize (corn),46.43
Argentina,Belarus,2019,Sunflower seed,0.02
Argentina,Belgium,2019,Maize (corn),150.81
Argentina,Belgium,2019,Rice,0.13
Argentina,Belgium,2019,Sunflower seed,41.06
Argentina,Benin,2019,Maize (corn),805.25
Argentina,Bolivia (Plurinational State of),2019,Chickens,24.155
Argentina,Bolivia (Plurinational State of),2019,Maize (corn),3686.5299999999997
Argentina,Bolivia (Plurinational State of),2019,Soya beans,3891.44
Argentina,Bolivia (Plurinational State of),2019,Sunflower seed,1225.06
Argentina,Bolivia (Plurinational State of),2019,Wheat,56450.215
Argentina,Bosnia and Herzegovina,2019,Maize (corn),243.055
Argentina,Brazil,2019,Barley,588807.35
Argentina,Brazil,2019,Maize (corn),96059.16500000001
Argentina,Brazil,2019,Potatoes,21374.095
Argentina,Brazil,2019,Rice,587.3
Argentina,Brazil,2019,Soya beans,1.795
Argentina,Brazil,2019,Sunflower seed,6792.84
Argentina,Brazil,2019,Wheat,5344390.76
Argentina,Brunei Darussalam,2019,Maize (corn),13053.95
Argentina,Bulgaria,2019,Maize (corn),964.975
