area,year,production_total,food_supply,net_trade,import_dependency
Afghanistan,2021,5849429.08,798.0250000000001,-888627.28,0.1351462877020559
Albania,2021,914912.2000000001,498.385,-147887.99,0.13948530526861977
Algeria,2021,7103757.58,887.7550000000001,-13805665.700000001,0.6603060063327434
Angola,2021,7870791.09,363.45,-602874.47,0.07218924900350321
Antigua and Barbuda,2021,52.99,335.455,-2342.14,0.9778764017735619
Argentina,2021,140807439.45,524.59,47790789.809999995,0.0367373894348681
Armenia,2021,505519.29999999993,618.635,-385610.31000000006,0.4443745893832183
Australia,2021,53271497.97,381.315,35205738.06,0.00020731254831217558
Australia and New Zealand,2021,54786124.16,397.175,34563907.53,0.01456222718924831
Austria,2021,5807770.0,493.12,-1547917.1700000002,0.35488804595587237
Azerbaijan,2021,4330431.18,824.42,-1392251.07,0.26140717440511024
Bahamas,2021,11160.76,361.15000000000003,-9306.78,0.4547092615917692
Bahrain,2021,110.0,582.8199999999999,-132829.91,0.9991728528500708
Bangladesh,2021,72779021.25,907.015,-11055608.02,0.1327475443562454
Barbados,2021,1354.9,469.295,-71332.13,0.9813963821462389
Belarus,2021,8073055.0,475.885,-404437.3499999999,0.08611155245545957
Belgium,2021,6250610.0,434.815,-10476944.870000001,0.6843057253133349
Belize,2021,241934.0,516.075,96560.03,0.05522966622741086
Benin,2021,2460150.35,2500.0,-91217.64,0.036071174223397666
Bhutan,2021,115312.05,999.08,-3593.5800000000017,0.24637405246178573
Bolivia (Plurinational State of),2021,7269783.95,520.3149999999999,157037.40000000002,0.01387814330020009
Bosnia and Herzegovina,2021,1659571.0,699.535,-571837.75,0.2781049808033729
Botswana,2021,71579.6,625.325,-225088.72999999995,0.8502595672234645
Brazil,2021,253784808.0,473.41,97227728.10000001,0.04116463203561283
Brunei Darussalam,2021,5464.0,2500.0,-68780.79,0.927134211474548
Bulgaria,2021,13733120.0,508.47499999999997,7315034.390000001,0.05780665120176792
Burkina Faso,2021,2490133.48,820.425,-154293.45,0.080661588685794
Burundi,2021,2437778.83,2500.0,-85644.36,0.034121933913246895
Cabo Verde,2021,7779.0,747.215,-40033.92,0.8373033899623784
Cambodia,2021,13363000.0,724.73,59487.44999999995,0.02177757587876
Cameroon,2021,3763389.84,622.49,-765599.17,0.2143111958996479
Canada,2021,56332680.0,461.41499999999996,27282699.139999997,0.08401802096073471
Caribbean,2021,4160349.47,493.615,-3962458.49,0.5101321027886925
Central America,2021,51195643.620000005,656.285,-29352567.310000002,0.42056877420510624
Chad,2021,646165.5800000001,2500.0,-17079.53,0.05960726601088995
Chile,2021,3447697.16,582.9499999999999,-4129092.29,0.5486141967863519
China,2021,1498065761.44,940.7150000000001,-305237039.32,0.1701693710315919
Colombia,2021,9677448.77,454.325,-6474253.57,0.4766645779357486
Comoros,2021,101741.0,506.81,-2545.6299999999997,0.024409936345627426
Congo,2021,107429.92000000001,249.10000000000002,-271385.04000000004,0.7164052866338753
Cook Islands,2021,9.25,2500.0,-283.63000000000005,0.9684257236482796
Costa Rica,2021,2810787.0,474.865,500117.5700000003,0.39342138233440843
Croatia,2021,4018880.0,518.305,1533741.6000000003,0.11698589579373658
Cuba,2021,804777.0,2500.0,-1112737.32,0.5803022082560013
Cyprus,2021,156520.0,533.675,-507602.22,0.7908694332080635
Czechia,2021,8473540.0,362.43,2855073.4800000004,0.08979490067796139
C̫te d'Ivoire,2021,3335652.41,534.115,-424735.32999999996,0.20596570379428286
Democratic People's Republic of Korea,2021,5371702.0,2500.0,-10990.740000000002,0.0020418794807649447
Democratic Republic of the Congo,2021,4771672.38,165.805,-671393.85,0.12334884406931781
Denmark,2021,9929130.0,448.37,1322732.76,0.050643973780688356
Djibouti,2021,17.15,717.1099999999999,5913.680000000008,0.9998352847528043
Dominica,2021,11886.199999999999,2500.0,-402.55999999999995,0.0327961696573588
Dominican Republic,2021,2414755.09,429.825,-1632634.8100000003,0.4519403332131293
Ecuador,2021,9914429.450000001,482.785,5199501.49,0.14055070901369532
Egypt,2021,29750867.95,981.3149999999999,-17711002.859999996,0.38102328318935913
El Salvador,2021,885767.68,670.885,-1125692.5299999998,0.5645341658936308
Equatorial Guinea,2021,31426.85,2500.0,-2016.3,0.06047326041580094
Eritrea,2021,110058.31,2500.0,-60676.090000000004,0.35568942699736716
Estonia,2021,1198910.0,331.415,635368.1100000001,0.06750498998114841
Eswatini,2021,127399.59999999999,628.7099999999999,-224412.76,0.6554376957050391
Ethiopia,2021,26180720.45,913.51,-1744829.17,0.06681222895076447
Faroe Islands,2021,1518.43,2500.0,-20881.390000000003,0.9322124319693498
Fiji,2021,19391.34,472.70000000000005,-131233.16,0.8713497943795621
Finland,2021,2291450.0,520.855,-91968.21000000002,0.09094024770818021
France,2021,74869760.0,499.13,29054631.5,0.03560955918091
French Polynesia,2021,345.0,500.52,-5538.5,0.9413614345202685
Gabon,2021,69258.16,443.94,-135344.67,0.6615001133902109
Gambia,2021,68068.0,646.005,-37630.899999999994,0.35601978828540315
Georgia,2021,666800.0,687.63,-401321.45,0.42746455942942774
Germany,2021,47851100.0,415.04,-165698.1700000018,0.23239691799089174
Ghana,2021,4681808.92,448.84,-172171.77,0.06134105661835886
Greece,2021,3699200.0,457.935,-1902184.7000000002,0.4128214459525546
Grenada,2021,3639.82,347.35,-37432.420000000006,0.91175072906231
Guatemala,2021,7362704.590000001,578.135,399796.68999999994,0.22882648287327872
Guinea,2021,4219093.76,652.8050000000001,-382083.98,0.08701094780032825
Guinea-Bissau,2021,239567.86,739.4050000000001,-3067.8700000000003,0.012643933356393968
Guyana,2021,881625.0,622.345,-61731.86,0.10916440131118875
Haiti,2021,656852.6799999999,518.27,-281871.72,0.30028182170482315
Honduras,2021,1120080.93,564.82,-892347.1499999999,0.5205496389924728
Hong Kong,2021,0.0,471.285,-141067.08,1.0
Hungary,2021,15590050.0,490.63,6035467.2700000005,0.07378244124149459
Iceland,2021,13845.0,533.425,-77410.27,0.8487337887307601
India,2021,439796802.47,695.225,10455529.430000002,0.0015017088254399057
Indonesia,2021,78148839.79,713.05,-15498748.080000002,0.16563385918751566
Iran (Islamic Republic of),2021,20692008.94,751.25,-21897206.94,0.5204451546163797
Iraq,2021,5764502.32,828.3000000000001,147996.51999999955,0.2676141849438897
