area,year,production_total,food_supply,net_trade,import_dependency
Afghanistan,2018,4918739.87,783.94,-1169206.02,0.1938882124628543
Afghanistan,2019,6691151.0,774.855,-801643.46,0.10701077161731463
Afghanistan,2020,7095715.0,793.9,-769201.19,0.09960454987485765
Afghanistan,2021,5849429.08,798.0250000000001,-888627.28,0.1351462877020559
Albania,2018,897186.0,630.11,-336343.72000000003,0.27322951893872166
Albania,2019,892390.0,631.8499999999999,-274325.5,0.2354216497652318
Albania,2020,901786.0,635.9499999999999,-371048.26999999996,0.29243673428606504
Albania,2021,914912.2000000001,498.385,-147887.99,0.13948530526861977
Algeria,2018,10597990.07,855.11,-13206970.250000002,0.5548161086758764
Algeria,2019,10551879.45,872.015,-13108345.07,0.554049057711672
Algeria,2020,8983227.74,879.405,-14086327.57,0.6106389290034232
Algeria,2021,7103757.58,887.7550000000001,-13805665.700000001,0.6603060063327434
Angola,2018,7238979.39,388.675,-377932.33,0.0501092183961078
Angola,2019,7375972.13,375.18,-386675.48000000004,0.05057888764037768
Angola,2020,7722328.64,371.1,-430771.89,0.054040939037532244
Angola,2021,7870791.09,363.45,-602874.47,0.07218924900350321
Antigua and Barbuda,2018,41.83,347.79499999999996,-2671.3900000000003,0.9845956117932138
Antigua and Barbuda,2019,55.96,347.82,-2632.82,0.9791901409760106
Antigua and Barbuda,2020,60.370000000000005,349.655,-2672.7999999999997,0.9779134685037354
Antigua and Barbuda,2021,52.99,335.455,-2342.14,0.9778764017735619
Argentina,2018,113336858.41,552.0100000000001,34239280.24,0.05749730750622543
Argentina,2019,143478581.24,534.355,54456660.440000005,0.03368378251884821
Argentina,2020,135574512.01,519.6650000000001,50129056.129999995,0.041094055889699055
Argentina,2021,140807439.45,524.59,47790789.809999995,0.0367373894348681
Armenia,2018,734285.0,629.845,-446649.49999999994,0.37974750874590346
Armenia,2019,589769.0,614.075,-365103.42,0.38502870131609734
Armenia,2020,665629.8,644.1199999999999,-471665.0,0.41725999494660265
Armenia,2021,505519.29999999993,618.635,-385610.31000000006,0.4443745893832183
Australia,2018,29043962.909999996,388.495,19715340.2,0.0003722186462412039
Australia,2019,26561237.81,392.71999999999997,13412216.729999999,0.01878041642649826
Australia,2020,48366412.9,389.18,15358921.93,0.010331918880149893
Australia,2021,53271497.97,381.315,35205738.06,0.00020731254831217558
Australia and New Zealand,2018,30483337.159999996,405.015,18939169.63,0.02670819166848011
Australia and New Zealand,2019,28057969.019999996,407.03,12712351.35,0.04365897255501092
Australia and New Zealand,2020,49900222.33,404.215,14879464.27,0.02217929693810936
Australia and New Zealand,2021,54786124.16,397.175,34563907.53,0.01456222718924831
Austria,2018,5133820.0,485.615,-1395247.9200000004,0.3497641179670876
Austria,2019,5757470.0,487.67499999999995,-1493561.24,0.3399198527712881
Austria,2020,6077080.0,467.53999999999996,-1581707.0299999998,0.34278961658812035
Austria,2021,5807770.0,493.12,-1547917.1700000002,0.35488804595587237
Azerbaijan,2018,4090161.21,832.2,-1388388.47,0.26821033371701875
Azerbaijan,2019,4434891.14,861.785,-1914907.1099999999,0.3102060037201853
Azerbaijan,2020,4196625.58,859.9050000000001,-1694938.8900000001,0.297398585651515
Azerbaijan,2021,4330431.18,824.42,-1392251.07,0.26140717440511024
Bahamas,2018,10823.310000000001,362.61,-10727.94,0.49779668842060815
Bahamas,2019,10914.42,364.975,-10300.500000000002,0.48553215017508866
Bahamas,2020,10994.7,367.435,-7302.71,0.3991116775543643
Bahamas,2021,11160.76,361.15000000000003,-9306.78,0.4547092615917692
Bahrain,2018,85.0,2500.0,-199259.84999999998,0.9995753660556916
Bahrain,2019,30.0,607.05,-154597.46,0.9998062520024663
Bahrain,2020,30.0,596.405,-208116.51,0.9998660794638036
Bahrain,2021,110.0,582.8199999999999,-132829.91,0.9991728528500708
Bangladesh,2018,69655891.97,973.6800000000001,-7912915.8,0.10230741371700548
Bangladesh,2019,69969651.92,941.955,-10302278.159999998,0.12943037416340228
Bangladesh,2020,71629914.18,967.5,-10557661.57,0.12915588026770106
Bangladesh,2021,72779021.25,907.015,-11055608.02,0.1327475443562454
Barbados,2018,1070.78,460.53,-87249.56999999999,0.9878881549530714
